"lon","lat","TEM"
-80.25,41.75,0
-79.75,41.75,0
-79.25,41.75,0
-78.75,41.75,0
-78.25,41.75,0
-77.75,41.75,0.2
-77.25,41.75,0.3
-76.75,41.75,0.5
-76.25,41.75,0.5
-75.75,41.75,0.1
-75.25,41.75,-0.1
-74.75,41.75,0
-74.25,41.75,0.5
-73.75,41.75,1.4
-73.25,41.75,1.3
-91.25,42.25,2.8
-90.75,42.25,2.8
-90.25,42.25,2.8
-89.75,42.25,2.7
-89.25,42.25,2.6
-88.75,42.25,2.5
-88.25,42.25,2.5
-87.75,42.25,2.2
-87.25,42.25,2
-86.75,42.25,1.9
-86.25,42.25,0
-85.75,42.25,0
-85.25,42.25,0
-84.75,42.25,0
-84.25,42.25,0
-83.75,42.25,0
-83.25,42.25,0
-82.75,42.25,0
-82.25,42.25,0
-81.75,42.25,0
-81.25,42.25,0
-80.75,42.25,0
-80.25,42.25,0
-79.75,42.25,0
-79.25,42.25,0
-78.75,42.25,0
-78.25,42.25,0
-77.75,42.25,-0.2
-77.25,42.25,0.1
-76.75,42.25,0.3
-76.25,42.25,-0.1
-75.75,42.25,-0.5
-75.25,42.25,-1
-74.75,42.25,-1.1
-74.25,42.25,-0.7
-73.75,42.25,0.4
-73.25,42.25,0
-91.25,42.75,2.1
-90.75,42.75,2.1
-90.25,42.75,2
-89.75,42.75,2
-89.25,42.75,2
-88.75,42.75,1.9
-88.25,42.75,1.9
-87.75,42.75,1.6
-87.25,42.75,1.6
-86.75,42.75,1.5
-86.25,42.75,0
-85.75,42.75,0
-85.25,42.75,0
-84.75,42.75,0
-84.25,42.75,0
-83.75,42.75,0
-83.25,42.75,0
-82.75,42.75,0
-82.25,42.75,0
-81.75,42.75,0
-81.25,42.75,0
-80.75,42.75,0
-80.25,42.75,0
-79.75,42.75,0
-79.25,42.75,0
-78.75,42.75,0
-78.25,42.75,0
-77.75,42.75,0.3
-77.25,42.75,0.4
-76.75,42.75,0.4
-76.25,42.75,-0.1
-75.75,42.75,-0.7
-75.25,42.75,-1.2
-74.75,42.75,-1.3
-74.25,42.75,-0.8
-73.75,42.75,0.1
-73.25,42.75,-0.9
-91.25,43.25,0
-90.75,43.25,0
-90.25,43.25,0
-89.75,43.25,0
-89.25,43.25,0
-88.75,43.25,0
-88.25,43.25,0
-87.75,43.25,0
-87.25,43.25,0
-86.75,43.25,0
-86.25,43.25,0
-85.75,43.25,0
-85.25,43.25,0
-84.75,43.25,0
-84.25,43.25,0
-83.75,43.25,0
-83.25,43.25,0
-82.75,43.25,0
-82.25,43.25,0
-81.75,43.25,0
-81.25,43.25,0
-80.75,43.25,0
-80.25,43.25,0
-79.75,43.25,0
-79.25,43.25,0
-78.75,43.25,0
-78.25,43.25,0
-77.75,43.25,0.8
-77.25,43.25,0.8
-76.75,43.25,0.7
-76.25,43.25,0.3
-75.75,43.25,-0.7
-75.25,43.25,-1.6
-74.75,43.25,-2.1
-74.25,43.25,-2
-73.75,43.25,-0.6
-73.25,43.25,-1.5
